"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2023","16,877.2","16,889.9","17,012.6","16,872.6","","-0.02%"
"11/29/2023","16,879.8","16,966.2","17,006.3","16,872.2","","-0.46%"
"11/28/2023","16,957.6","16,972.7","16,993.2","16,876.6","","-0.05%"
"11/27/2023","16,966.2","17,023.4","17,044.4","16,927.0","","-0.32%"
"11/24/2023","17,021.1","16,962.7","17,042.1","16,950.3","","0.39%"
"11/23/2023","16,955.7","16,958.1","17,032.0","16,934.0","","0.03%"
"11/22/2023","16,951.1","16,846.6","17,025.4","16,842.7","","0.67%"
"11/21/2023","16,838.0","16,896.8","16,991.8","16,828.8","","-0.30%"
"11/20/2023","16,888.3","16,907.0","16,982.0","16,787.4","","-0.04%"
"11/17/2023","16,894.9","16,869.4","16,913.2","16,769.9","","0.20%"
"11/16/2023","16,860.9","16,850.8","16,938.6","16,842.3","","0.10%"
"11/15/2023","16,843.8","17,074.0","17,081.1","16,815.5","","-1.32%"
"11/14/2023","17,069.2","16,797.4","17,089.0","16,782.7","","1.68%"
"11/13/2023","16,787.4","16,768.5","16,822.4","16,743.3","","0.17%"
"11/10/2023","16,758.5","16,700.0","16,783.4","16,692.1","","0.40%"
"11/09/2023","16,692.3","16,756.5","16,792.3","16,687.4","","-0.35%"
"11/08/2023","16,751.1","16,722.5","16,772.1","16,675.8","","0.20%"
"11/07/2023","16,717.2","16,651.5","16,735.0","16,603.4","","0.41%"
"11/06/2023","16,648.9","16,876.7","16,884.6","16,645.2","","-1.32%"
"11/03/2023","16,871.3","16,842.8","16,905.8","16,704.5","","0.23%"
"11/02/2023","16,832.7","16,841.7","16,914.9","16,776.4","","-0.01%"
"11/01/2023","16,834.8","16,796.8","16,871.9","16,758.0","","0.24%"
"10/31/2023","16,794.7","16,868.8","16,958.0","16,767.4","","-0.38%"
"10/30/2023","16,858.8","16,842.2","16,884.7","16,758.4","","0.15%"
"10/27/2023","16,833.7","16,808.3","16,893.2","16,792.8","","0.16%"
"10/26/2023","16,806.2","16,774.6","16,820.7","16,748.4","","0.29%"
"10/25/2023","16,758.2","16,786.7","16,837.0","16,765.9","","-0.11%"
"10/24/2023","16,776.7","17,001.1","17,011.4","16,772.5","","-1.28%"
"10/23/2023","16,994.1","16,818.0","17,016.2","16,798.1","","1.09%"
"10/20/2023","16,811.1","16,733.9","16,834.6","16,713.3","","0.49%"
"10/19/2023","16,728.6","16,571.6","16,791.6","16,566.8","","0.98%"
"10/18/2023","16,566.3","16,618.6","16,669.9","16,551.9","","-0.28%"
"10/17/2023","16,613.3","16,601.1","16,650.8","16,551.8","","0.13%"
"10/16/2023","16,591.9","16,477.6","16,605.8","16,477.6","","0.69%"
"10/13/2023","16,478.1","16,517.7","16,596.3","16,458.8","","-0.19%"
"10/12/2023","16,510.0","16,668.6","16,710.7","16,514.5","","-0.89%"
"10/11/2023","16,658.1","16,687.0","16,702.7","16,601.9","","-0.12%"
"10/10/2023","16,678.5","16,579.6","16,711.4","16,564.3","","0.65%"
"10/09/2023","16,571.2","16,488.8","16,589.0","16,467.8","","0.31%"
"10/06/2023","16,519.4","16,473.8","16,547.4","16,362.9","","0.33%"
"10/05/2023","16,465.4","16,425.6","16,477.7","16,393.6","","0.33%"
"10/04/2023","16,410.9","16,312.3","16,463.9","16,295.9","","0.69%"
"10/03/2023","16,299.2","16,271.6","16,350.4","16,251.4","","0.22%"
"10/02/2023","16,264.0","16,332.8","16,458.1","16,270.0","","-0.41%"
"09/29/2023","16,330.7","16,398.4","16,418.0","16,325.9","","-0.32%"
"09/28/2023","16,382.3","16,299.9","16,419.4","16,281.3","","0.56%"
"09/27/2023","16,290.8","16,371.4","16,421.7","16,276.6","","-0.47%"
"09/26/2023","16,367.7","16,313.2","16,435.7","16,294.0","","0.39%"
